visit_order,point_id,x_meters,y_meters
0,0,111.062,94.410
1,20,122.400,59.600
2,10,114.400,55.000
3,36,103.800,48.600
4,5,94.200,35.800
5,11,90.400,30.400
6,17,82.800,27.200
7,12,20.400,25.600
8,25,10.400,30.600
9,1,6.800,33.800
10,15,7.400,32.400
11,24,7.200,57.800
12,19,8.200,60.400
13,38,9.600,66.400
14,33,16.400,79.200
15,6,19.200,84.000
16,37,25.600,87.400
17,30,52.200,103.400
18,13,63.800,113.400
19,3,70.800,123.200
20,8,73.600,128.000
21,23,81.600,146.800
22,29,84.800,159.800
23,4,99.000,178.400
24,34,137.600,183.200
25,7,185.400,183.600
26,31,209.400,180.000
27,14,213.400,174.200
28,9,218.000,164.200
29,27,222.200,150.000
30,32,224.600,113.400
31,22,222.200,107.800
32,16,208.600,96.800
33,2,199.800,91.000
34,28,197.600,89.000
35,26,187.600,83.200
36,35,178.200,80.800
37,18,175.600,80.200
38,39,147.800,69.800
39,21,138.400,67.600
