tree_id,x_meters,y_meters
0,220.000,106.600
1,181.200,82.200
2,35.200,22.200
3,11.800,68.800
4,95.600,39.200
5,209.400,96.800
6,99.000,45.000
7,28.800,89.600
8,20.800,24.600
9,12.200,29.800
10,224.600,113.400
11,65.600,115.200
12,185.000,83.400
13,114.400,55.000
14,216.800,165.800
15,206.000,94.800
16,81.800,147.200
17,9.800,64.800
18,204.400,93.400
19,17.800,81.400
20,150.800,183.800
21,109.000,180.400
22,182.800,82.200
23,166.400,180.400
24,107.800,52.000
25,226.800,118.200
26,79.000,24.800
27,6.400,34.000
28,10.400,30.600
29,88.600,30.600
30,213.400,173.400
