tree_id,x_meters,y_meters
0,6.800,33.800
1,199.800,91.000
2,70.800,123.200
3,99.000,178.400
4,94.200,35.800
5,19.200,84.000
6,185.400,183.600
7,73.600,128.000
8,218.000,164.200
9,114.400,55.000
10,90.400,30.400
11,20.400,25.600
12,63.800,113.400
13,213.400,174.200
14,7.400,32.400
15,208.600,96.800
16,82.800,27.200
17,175.600,80.200
18,8.200,60.400
19,122.400,59.600
20,138.400,67.600
21,222.200,107.800
22,81.600,146.800
23,7.200,57.800
24,10.400,30.600
25,187.600,83.200
26,222.200,150.000
27,197.600,89.000
28,84.800,159.800
29,52.200,103.400
30,209.400,180.000
31,224.600,113.400
32,16.400,79.200
33,137.600,183.200
34,178.200,80.800
35,103.800,48.600
36,25.600,87.400
37,9.600,66.400
38,147.800,69.800
