visit_order,point_id,x_meters,y_meters
0,0,111.062,94.410
1,21,138.400,67.600
2,39,147.800,69.800
3,18,175.600,80.200
4,35,178.200,80.800
5,26,187.600,83.200
6,28,197.600,89.000
7,2,199.800,91.000
8,16,208.600,96.800
9,22,222.200,107.800
10,32,224.600,113.400
11,27,222.200,150.000
12,9,218.000,164.200
13,14,213.400,174.200
14,31,209.400,180.000
15,7,185.400,183.600
16,34,137.600,183.200
17,4,99.000,178.400
18,29,84.800,159.800
19,23,81.600,146.800
20,8,73.600,128.000
21,3,70.800,123.200
22,13,63.800,113.400
23,30,52.200,103.400
24,37,25.600,87.400
25,6,19.200,84.000
26,33,16.400,79.200
27,38,9.600,66.400
28,19,8.200,60.400
29,24,7.200,57.800
30,1,6.800,33.800
31,15,7.400,32.400
32,25,10.400,30.600
33,12,20.400,25.600
34,17,82.800,27.200
35,11,90.400,30.400
36,5,94.200,35.800
37,36,103.800,48.600
38,10,114.400,55.000
39,20,122.400,59.600
